Index;Name;Premiers caractères
1;MLresult_vid1 No description.csv;Result vid1
2;MLresult_vid2 When the day needs me anywhere and everywhere, #CeraVe SPF is what I wear so I can #FaceItLikeADerm   #CeraVePartner.csv;Result vid2
3;MLresult_vid3 This is puzzling.csv;Result vid3
4;MLresult_vid4 Can someone please explain how the mirror knows there is an egg.csv;Result vid4
5;MLresult_vid5 Life isnt always as it seems @sofyank96.csv;Result vid5
6;MLresult_vid6 spent the last 6 months making this, hope you enjoy the trailer. Watch the entire short film in my profile.csv;Result vid6
7;stats ori.xlsx;stats ori.xlsx
